DEBUG 2024-10-21 12:12:55,300 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\DLLs\_uuid.pyd first seen with mtime 1722958396.0
DEBUG 2024-10-21 12:12:55,301 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\django\contrib\admin\actions.py first seen with mtime 1729063312.9903586
DEBUG 2024-10-21 12:12:55,301 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\opcode.py first seen with mtime 1722958352.0
DEBUG 2024-10-21 12:12:55,302 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\django\contrib\admin\models.py first seen with mtime 1729063312.9943483
DEBUG 2024-10-21 12:12:55,303 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\rest_framework\schemas\generators.py first seen with mtime 1729063320.1409216
DEBUG 2024-10-21 12:12:55,304 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\queue.py first seen with mtime 1722958352.0
DEBUG 2024-10-21 12:12:55,305 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\asyncio\timeouts.py first seen with mtime 1722958350.0
DEBUG 2024-10-21 12:12:55,305 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\django\contrib\contenttypes\__init__.py first seen with mtime 1729063313.8520539
DEBUG 2024-10-21 12:12:55,306 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\logging\config.py first seen with mtime 1722958352.0
DEBUG 2024-10-21 12:12:55,307 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\MySQLdb\constants\CLIENT.py first seen with mtime 1729075091.0741098
DEBUG 2024-10-21 12:12:55,307 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\fnmatch.py first seen with mtime 1722958350.0
DEBUG 2024-10-21 12:12:55,308 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\django\utils\choices.py first seen with mtime 1729063315.285337
DEBUG 2024-10-21 12:12:55,308 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\django\urls\converters.py first seen with mtime 1729063315.2793608
DEBUG 2024-10-21 12:12:55,309 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\django\views\decorators\__init__.py first seen with mtime 1729063315.3122652
DEBUG 2024-10-21 12:12:55,310 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\json\decoder.py first seen with mtime 1722958352.0
DEBUG 2024-10-21 12:12:55,310 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\sqlparse\cli.py first seen with mtime 1729063312.4739432
DEBUG 2024-10-21 12:12:55,311 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\django\urls\conf.py first seen with mtime 1729063315.2783656
DEBUG 2024-10-21 12:12:55,311 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\django\utils\lorem_ipsum.py first seen with mtime 1729063315.2983024
DEBUG 2024-10-21 12:12:55,312 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\wsgiref\__init__.py first seen with mtime 1722958352.0
DEBUG 2024-10-21 12:12:55,312 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\django\utils\html.py first seen with mtime 1729063315.2943184
DEBUG 2024-10-21 12:12:55,313 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\django\core\cache\backends\locmem.py first seen with mtime 1729063315.0749
DEBUG 2024-10-21 12:12:55,313 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\django\template\loader_tags.py first seen with mtime 1729063315.2584085
DEBUG 2024-10-21 12:12:55,314 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\operator.py first seen with mtime 1722958352.0
DEBUG 2024-10-21 12:12:55,314 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\rest_framework\templatetags\rest_framework.py first seen with mtime 1729063320.214724
DEBUG 2024-10-21 12:12:55,315 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\django\db\models\fields\__init__.py first seen with mtime 1729063315.1726387
